lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-485.4474232043265,-0.3685023245521262,-1.5502994905119352,82,10,1,0,0.002916097640991211,0.1877598762512207,0,EIG-0|10|5|3|1,0,
-485.132886008501,-0.4112674443768908,-1.5301542075555943,82,9,1,0,0.006253957748413086,0.19680476188659668,0,EIG-0|10|5|3|1,0,
-484.682710093353,-0.41027218989304826,-0.973500461788188,82,3,1,0,0.007328987121582031,0.2065737247467041,0,EIG-0|10|5|3|1,0,
-484.4818266092943,-0.32094037998822594,-0.8211125839122548,82,3,1,0,0.00563502311706543,0.21477580070495605,0,EIG-0|10|5|3|1,0,
-484.2726713943951,-0.3956953758968245,-1.4552397719409456,82,8,1,0,0.005851030349731445,0.22335171699523926,0,EIG-0|10|5|3|1,0,
-483.84348084510924,-0.33371616449774466,-0.8687066174443864,82,5,1,0,0.006471872329711914,0.2320537567138672,0,EIG-0|10|5|3|1,0,
-483.74911506440696,-0.37429971158940234,-0.9945148017436448,82,5,1,0,0.003283977508544922,0.23784780502319336,0,EIG-0|10|5|3|1,0,
-483.5766023058563,-0.33045145934619224,-0.8006887989214768,82,3,1,0,0.0050029754638671875,0.24512672424316406,0,EIG-0|10|5|3|1,0,
-483.4529412285938,-0.387992042485237,-1.2461146235434741,82,10,1,0,0.0036890506744384766,0.25110292434692383,0,EIG-0|10|5|3|1,0,
-483.24403958387376,-0.39032412982867065,-0.39032412982867065,55,1,1,0,0.006499052047729492,0.2599496841430664,0,EIG-0|10|5|3|1,0,
-483.1611382765594,-0.2876382664406011,-1.032089852356438,82,9,1,0,0.0037229061126708984,0.2658677101135254,0,EIG-0|10|5|3|1,0,
-483.04052913055824,-0.2870272220222235,-0.7275021638459855,82,5,1,0,0.0060880184173583984,0.27433085441589355,0,EIG-0|10|5|3|1,0,
-482.93043970462315,-0.22592261722029186,-0.8510493489707333,82,10,1,0,0.007119894027709961,0.2836947441101074,0,EIG-0|10|5|3|1,0,
-482.8394330850444,-0.3736274018731546,-1.0491078950663106,82,9,1,0,0.00503087043762207,0.2909228801727295,0,EIG-0|10|5|3|1,0,
-482.7026354533169,-0.3944885740847955,-0.9172769729864664,82,9,1,0,0.005671977996826172,0.2987217903137207,0,EIG-0|10|5|3|1,0,
-482.6173559355171,-0.22373489939567404,-0.9059534650615867,82,10,1,0,0.005769014358520508,0.30660462379455566,0,EIG-0|10|5|3|1,0,
-482.4909250246189,-0.21723715651560027,-0.9338028278713464,82,9,1,0,0.006903886795043945,0.31560659408569336,0,EIG-0|10|5|3|1,0,
-482.44165853677106,-0.21517793803507615,-0.4362157236268569,82,3,1,0,0.0056819915771484375,0.3234238624572754,0,EIG-0|10|5|3|1,0,
-482.37619463032865,-0.25669955349150037,-0.25669955349150037,82,1,1,0,0.005335807800292969,0.33087897300720215,0,EIG-0|10|5|3|1,0,
-482.3393433982964,-0.19518705452075955,-0.7150098303555132,82,5,1,0,0.005028963088989258,0.3380308151245117,0,EIG-0|10|5|3|1,0,
-482.2183782252539,-0.2361249372292027,-0.8400305451215102,82,5,1,0,0.008839130401611328,0.34899258613586426,0,EIG-0|10|5|3|1,0,
-482.07539390429946,-0.2174960473975434,-0.9783673272511677,82,10,1,0,0.009422063827514648,0.36054468154907227,0,EIG-0|10|5|3|1,0,
-481.943429407539,-0.17351922925541255,-0.17351922925541255,82,1,1,0,0.008665084838867188,0.37131381034851074,0,EIG-0|10|5|3|1,0,
-481.895400469919,-0.26622387260268393,-1.01374929258637,82,9,1,0,0.005470991134643555,0.3788948059082031,0,EIG-0|10|5|3|1,0,
-481.7656500764657,-0.14098217066907937,-0.5106334120069502,82,10,1,0,0.010637998580932617,0.39209675788879395,0,EIG-0|10|5|3|1,0,
-481.70611776833425,-0.12814657105436175,-0.4974513518705588,82,10,1,0,0.007390022277832031,0.4020369052886963,0,EIG-0|10|5|3|1,0,
-481.6337295074274,-0.12299293692222805,-0.49628331297575107,82,9,1,0,0.007363080978393555,0.4119679927825928,0,EIG-0|10|5|3|1,0,
