lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2606.75,-2.0906614774852184,-5.8119414706342525,100,3,1,0,0.00851297378540039,0.010304927825927734,0,EIG-0|10|5|3|1,0,0.04502677917480469
-2303.362273114728,-2.1715539088200586,-2.1715539088200586,100,1,1,0,0.00339508056640625,0.015437126159667969,0,EIG-0|10|5|3|1,0,
-2180.9811500532833,-1.97523675649962,-5.261027166992794,100,3,1,0,0.002435922622680664,0.01953291893005371,0,EIG-0|10|5|3|1,0,
-2022.6828273024694,-1.9581251013418401,-11.815533389126482,100,10,1,0,0.003901958465576172,0.025077104568481445,0,EIG-0|10|5|3|1,0,
-1738.3367517835438,-2.122158855297568,-5.209917346877271,100,3,1,0,0.008413076400756836,0.03512907028198242,0,EIG-0|10|5|3|1,0,
-1644.2955348032885,-1.7912393945161298,-11.199767585171413,100,13,1,0,0.0059359073638916016,0.04268503189086914,0,EIG-0|10|5|3|1,0,
-1559.8346941034508,-1.7155081516829938,-1.7155081516829938,100,1,1,0,0.0072400569915771484,0.05155801773071289,0,EIG-0|10|5|3|1,0,
-1539.6096700488386,-1.8212714796999914,-4.729207715588153,100,3,1,0,0.004737138748168945,0.05791926383972168,0,EIG-0|10|5|3|1,0,
-1509.6955402418773,-1.6394331948641254,-10.082960794009633,94,12,1,0,0.004195213317871094,0.06364202499389648,0,EIG-0|10|5|3|1,0,
-1452.374115650543,-1.8288055343736915,-1.8288055343736915,100,1,1,0,0.0067179203033447266,0.07184410095214844,0,EIG-0|10|5|3|1,0,
-1442.0402543419227,-1.7131306473319678,-6.523718372432985,100,5,1,0,0.004481077194213867,0.07780814170837402,0,EIG-0|10|5|3|1,0,
-1421.448088258749,-1.518217962369599,-1.518217962369599,94,1,1,0,0.006571054458618164,0.08589005470275879,0,EIG-0|10|5|3|1,0,
-1415.7659386618484,-1.672788635890121,-4.302759354305801,100,3,1,0,0.0034759044647216797,0.09083890914916992,0,EIG-0|10|5|3|1,0,
-1403.8109301118245,-1.5762438616468784,-8.780021260932932,100,13,1,0,0.00728297233581543,0.09959912300109863,0,EIG-0|10|5|3|1,0,
-1388.8755350392667,-0.8875165941473651,-0.8875165941473651,94,1,1,0,0.007874011993408203,0.10894513130187988,0,EIG-0|10|5|3|1,0,
-1386.3536380521152,-0.8673175733680788,-5.02540009600546,94,10,1,0,0.00415492057800293,0.11459207534790039,0,EIG-0|10|5|3|1,0,
-1378.3598482585905,-0.8209384392997956,-0.8209384392997956,100,1,1,0,0.007993936538696289,0.1240549087524414,0,EIG-0|10|5|3|1,0,
-1376.445913028384,-0.7923120215985807,-3.1595142543954404,100,5,1,0,0.0033011436462402344,0.12883806228637695,0,EIG-0|10|5|3|1,0,
-1370.4084251605855,-1.0860959866124718,-5.0000321654422075,100,13,1,0,0.007309913635253906,0.1376349925994873,0,EIG-0|10|5|3|1,0,
-1364.9732956161117,-0.8226721845683015,-1.986954244174652,100,3,1,0,0.008945941925048828,0.1480550765991211,0,EIG-0|10|5|3|1,0,
-1363.035785901649,-0.6853899622443701,-2.610458410407691,100,5,1,0,0.004987955093383789,0.15453720092773438,0,EIG-0|10|5|3|1,0,
-1360.406606629564,-0.6900315086626175,-1.9280657733046822,94,3,1,0,0.0063021183013916016,0.1623232364654541,0,EIG-0|10|5|3|1,0,
-1358.5871673156498,-0.7478731214919554,-3.8534270635315933,100,10,1,0,0.005506038665771484,0.1693401336669922,0,EIG-0|10|5|3|1,0,
-1354.9269219798302,-0.7669261935219405,-4.015350989616702,100,10,1,0,0.008388996124267578,0.17921924591064453,0,EIG-0|10|5|3|1,0,
-1351.4003121197966,-0.8089590242075404,-4.184067361788121,100,13,1,0,0.008479118347167969,0.18917226791381836,0,EIG-0|10|5|3|1,0,
