lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-35216.66352051929,-5.0605800219593275,-85.82107992846994,100,20,1,0,29.15639591217041,786.3194580078125,0,EIG-0|50|20|10|5|1,0,
-35164.17923661708,-5.06496246362001,-24.15371514026014,100,5,1,0,29.035944938659668,815.4530169963837,0,EIG-0|50|20|10|5|1,0,
-35146.16001272558,-5.2297999908353345,-24.42295336230856,100,5,1,0,13.205853939056396,828.7538621425629,0,EIG-0|50|20|10|5|1,0,
-35129.58357983479,-5.042277428717589,-85.88261468084978,100,20,1,0,17.849363088607788,846.6975557804108,0,EIG-0|50|20|10|5|1,0,
-35084.2224873167,-5.1979148416707615,-5.1979148416707615,100,1,1,0,29.895293951034546,876.6940050125122,0,EIG-0|50|20|10|5|1,0,
-35079.911230038,-5.111738736116698,-24.29107875593467,100,5,1,0,9.972903966903687,886.7763900756836,0,EIG-0|50|20|10|5|1,0,
-35064.1733680145,-5.111346926231635,-5.111346926231635,100,1,1,0,17.52684712409973,904.398943901062,0,EIG-0|50|20|10|5|1,0,
-35060.406962127556,-5.121833507076874,-176.27164005615347,100,50,1,0,9.56699800491333,914.0653538703918,0,EIG-0|50|20|10|5|1,0,
-34985.15883816261,-5.555299655165687,-87.04059220240586,100,20,1,0,41.922022104263306,956.0841059684753,0,EIG-0|50|20|10|5|1,0,
-34940.72154350108,-5.365417697093385,-5.365417697093385,100,1,1,0,29.64899706840515,985.8296010494232,0,EIG-0|50|20|10|5|1,0,
-34936.74925057153,-5.084355065641917,-24.45085032913312,100,5,1,0,10.980130910873413,996.9046819210052,0,EIG-0|50|20|10|5|1,0,
-34922.22615164474,-5.0700598079001,-23.848015186264586,100,5,1,0,21.891775846481323,1018.9000177383423,0,EIG-0|50|20|10|5|1,0,
-34908.24200212429,-5.0487290127962465,-5.0487290127962465,100,1,1,0,16.404700994491577,1035.408420085907,0,EIG-0|50|20|10|5|1,0,
-34905.47363778878,-5.137086485523657,-5.137086485523657,100,1,1,0,10.971718072891235,1046.4759089946747,0,EIG-0|50|20|10|5|1,0,
-34902.25901877856,-5.115860338392551,-24.38064851387608,100,5,1,0,10.151388883590698,1056.7277097702026,0,EIG-0|50|20|10|5|1,0,
-34889.47973456961,-5.022116171023818,-85.20754912126297,100,20,1,0,17.99459481239319,1074.8210270404816,0,EIG-0|50|20|10|5|1,0,
-34854.538914361314,-5.212640243184086,-86.49402243134061,100,20,1,0,36.012465953826904,1110.9279899597168,0,EIG-0|50|20|10|5|1,0,
-34817.26207567002,-5.1492871839197205,-46.17603898272344,100,10,1,0,31.37906813621521,1142.4047539234161,0,EIG-0|50|20|10|5|1,0,
-34795.842879159696,-5.111154869582408,-251.36184649562682,100,118,1,0,27.424378156661987,1169.9325637817383,0,EIG-0|50|20|10|5|1,0,
-34728.42018615079,-7.967246699850531,-49.55369833138211,100,10,1,0,52.604676961898804,1222.6459267139435,0,EIG-0|50|20|10|5|1,0,
-34710.133435175776,-5.137169936912873,-253.41585784145494,100,117,1,0,26.210816144943237,1248.9539110660553,0,EIG-0|50|20|10|5|1,0,
-34644.40677585988,-6.029097576843163,-86.24700804919368,100,20,1,0,53.74179792404175,1302.791955947876,0,EIG-0|50|20|10|5|1,0,
-34614.526137909,-5.260905411200269,-250.4400659094343,100,116,1,0,33.189640045166016,1336.082419872284,0,EIG-0|50|20|10|5|1,0,
-34558.57597446354,-6.847155685476032,-85.24519979450245,100,20,1,0,55.367652893066406,1391.5609440803528,0,EIG-0|50|20|10|5|1,0,
-34532.44663900933,-5.006655783848886,-243.52556445653198,100,115,1,0,40.15744209289551,1431.8279848098755,0,EIG-0|50|20|10|5|1,0,
-34483.50678760831,-6.306042132329175,-167.56014757789887,100,50,1,0,57.66086387634277,1489.5869319438934,0,EIG-0|50|20|10|5|1,0,
-34442.58808452874,-4.836392813166109,-4.836392813166109,100,1,1,0,51.81286406517029,1541.4985098838806,0,EIG-0|50|20|10|5|1,0,
-34440.92497803578,-4.837862970251527,-23.32193662108016,100,5,1,0,10.947531938552856,1552.5413601398468,0,EIG-0|50|20|10|5|1,0,
-34433.36165314158,-4.868615224222974,-44.84201470972751,100,10,1,0,22.441018104553223,1575.077479839325,0,EIG-0|50|20|10|5|1,0,
-34421.078356825165,-5.030435087650837,-83.4806779327696,100,20,1,0,28.373822927474976,1603.5485558509827,0,EIG-0|50|20|10|5|1,0,
-34400.95819237437,-4.947420717676954,-239.53184479906253,100,117,1,0,39.71663498878479,1643.3677790164948,0,EIG-0|50|20|10|5|1,0,
-34360.831323452745,-5.0060528839714165,-23.790169461314115,100,5,1,0,57.10853099822998,1700.5764877796173,0,EIG-0|50|20|10|5|1,0,
-34353.98951691934,-5.008911707017495,-45.54795548365441,100,10,1,0,24.14359998703003,1724.817125082016,0,EIG-0|50|20|10|5|1,0,
-34342.68840648804,-4.9919054415220865,-23.50610354527653,100,5,1,0,31.698034048080444,1756.6118159294128,0,EIG-0|50|20|10|5|1,0,
-34336.41626842722,-4.8692490014750165,-23.51762097805161,100,5,1,0,24.26568102836609,1780.9739508628845,0,EIG-0|50|20|10|5|1,0,
-34330.056424527655,-4.797697356177299,-81.97415632874207,100,20,1,0,20.88908100128174,1801.959835767746,0,EIG-0|50|20|10|5|1,0,
