dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,Lb60,best,lb0,cpu0,cpub,cputotal,gc,Gc,Gc av,Gc60,Gc60 av
BOXQP_LARGEST,spar250-025-3,QP,251,0,LP-FROB-0,-1,1800,1E-06,-26075.62774575473,1804.1429469585419,61,29.479903447823446,-6.207000494759795,0,,-26075.62774575473,-49580.0,0.49886107444763184,0.8259148597717285,1804.997269153595,0,1.00,,,
BOXQP_LARGEST,spar250-025-3,QP,251,0,LP-FROB-S,-1,1800,1E-06,-31895.893529641726,1828.7519900798798,101,18.01036052420588,-6.53123585474968,0,,-26075.62774575473,-49580.0,0.49939513206481934,0.8178369998931885,1829.5995042324066,0,0.75,,,
BOXQP_LARGEST,spar250-025-3,QP,251,0,LP-EIG-0,-1,1800,1E-06,-29202.56046291404,1820.6771647930145,69,26.290948031605154,-5.959012520406641,0,,-26075.62774575473,-49580.0,0.48641490936279297,0.8410851955413818,1821.545247077942,0,0.87,,,
BOXQP_LARGEST,spar250-025-3,QP,251,0,LP-EIG-1,-1,1800,1E-06,-48234.916931040636,1834.4997007846832,166,10.953633561191788,-6.902318374913744,0,,-26075.62774575473,-49580.0,0.4901769161224365,0.8033280372619629,1835.3426489830017,0,0.06,,,
BOXQP_LARGEST,spar250-025-3,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-26883.279536225393,1838.9249629974365,79,23.179099903831,-5.2713721060138266,0,-42624.8679206256,-26075.62774575473,-49580.0,0.49593091011047363,0.8463900089263916,1839.8004930019379,0,0.97,,0.30,
BOXQP_LARGEST,spar250-050-1,QP,251,0,LP-FROB-0,-1,1800,1E-06,-33904.94104693156,1822.3454840183258,51,35.6344599349826,-3.4459657123093845,0,,-33904.94104693156,-99399.5,0.8048698902130127,0.8447480201721191,1823.220239162445,0,1.00,1.00,,
BOXQP_LARGEST,spar250-050-1,QP,251,0,LP-FROB-S,-1,1800,1E-06,-40950.82529237392,1814.0968549251556,98,18.41488562311445,-6.269289638364023,0,,-33904.94104693156,-99399.5,0.7949109077453613,0.8142030239105225,1814.941379070282,0,0.89,0.89,,
BOXQP_LARGEST,spar250-050-1,QP,251,0,LP-EIG-0,-1,1800,1E-06,-38262.69200284289,1809.9438982009888,75,24.036886157989503,-5.464882225005274,0,,-33904.94104693156,-99399.5,0.8101191520690918,0.8318238258361816,1810.8042540550232,0,0.93,0.93,,
BOXQP_LARGEST,spar250-050-1,QP,251,0,LP-EIG-1,-1,1800,1E-06,-75923.1559374038,1822.1494100093842,134,13.500527262687683,-6.920567570653282,0,,-33904.94104693156,-99399.5,0.8094079494476318,0.8248879909515381,1823.006057024002,0,0.36,0.36,,
BOXQP_LARGEST,spar250-050-1,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-36110.22482101953,1847.438977241516,86,21.386387237282687,-6.654632345020148,0,-63332.4831903457,-33904.94104693156,-99399.5,0.8122599124908447,0.8211829662322998,1848.2910768985748,0,0.97,0.97,0.55,0.44
BOXQP_LARGEST,spar250-050-2,QP,251,0,LP-FROB-0,-1,1800,1E-06,-33193.9463443742,1829.4435601234436,63,28.942289798978774,-4.6713705717924565,0,,-33193.9463443742,-98092.0,0.8375270366668701,0.8301301002502441,1830.303326845169,0,1.00,,,
BOXQP_LARGEST,spar250-050-2,QP,251,0,LP-FROB-S,-1,1800,1E-06,-40139.051649923866,1813.721553325653,101,17.860994081686037,-6.17970585726579,0,,-33193.9463443742,-98092.0,0.8365530967712402,0.8468647003173828,1814.6030328273773,0,0.89,,,
BOXQP_LARGEST,spar250-050-2,QP,251,0,LP-EIG-0,-1,1800,1E-06,-37564.82751690975,1812.020784854889,79,22.840657792513884,-7.702598044701556,0,,-33193.9463443742,-98092.0,0.8405377864837646,0.8573291301727295,1812.9106938838959,0,0.93,,,
BOXQP_LARGEST_2,spar250-050-2,QP,251,0,LP-EIG-1,-1,1800,1E-06,-74800.84745399233,1802.0546741485596,133,13.450231485797051,-6.963344767342031,0,,-33193.9463443742,-98092.0,0.8476552963256836,0.8144867420196533,1802.908164024353,0,0.36,,,
BOXQP_LARGEST,spar250-050-2,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-34330.056424527655,1801.959835767746,85,21.101475306118235,-4.797697356177299,0,-67625.16645509210,-33193.9463443742,-98092.0,0.8531687259674072,0.8692679405212402,1802.8585438728333,0,0.98,,0.47,
BOXQP_LARGEST,spar250-050-3,QP,251,0,LP-FROB-0,-1,1800,1E-06,-32956.110517336056,1834.9573497772217,58,31.541638456541918,-3.285762673771622,0,,-32956.110517336056,-96869.25,1.1839008331298828,1.2187933921813965,1836.2091789245605,0,1.00,,,
BOXQP_LARGEST,spar250-050-3,QP,251,0,LP-FROB-S,-1,1800,1E-06,-39378.59101470446,1827.1119921207428,99,18.358771952715788,-5.957669584623971,0,,-32956.110517336056,-96869.25,0.8218779563903809,0.8381931781768799,1827.9754507541656,0,0.90,,,
BOXQP_LARGEST,spar250-050-3,QP,251,0,LP-EIG-0,-1,1800,1E-06,-37400.80997861948,1820.2363760471344,78,23.241445232660343,-6.495734231908446,0,,-32956.110517336056,-96869.25,0.8286299705505371,0.8419749736785889,1821.1050350666046,0,0.93,,,
BOXQP_LARGEST,spar250-050-3,QP,251,0,LP-EIG-1,-1,1800,1E-06,-73774.89126807288,1830.1001181602478,134,13.560686013591823,-7.112399691573791,0,,-32956.110517336056,-96869.25,0.8264331817626953,0.858942985534668,1830.9866843223572,0,0.36,,,
BOXQP_LARGEST,spar250-050-3,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-34891.14140206637,1821.7974348068237,86,21.0877718287845,-4.8794409518209365,0,-77408.451603369,-32956.110517336056,-96869.25,0.8641269207000732,0.8597939014434814,1822.6876361370087,0,0.97,,0.30,
BOXQP_LARGEST,spar250-075-1,QP,251,0,LP-FROB-0,-1,1800,1E-06,-40665.66047931629,1853.3552367687225,51,36.24345195059683,-3.6770068916507324,0,,-40665.66047931629,-148020.25,0.8695065975189209,0.8054041862487793,1854.1913440227509,0,1.00,1.00,,
