dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal,gc
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SDP,-1,7200,1e-06,-480.02082803107254,1.347053050994873,1,1.347053050994873,1.2712584267294712e-10,1,-480.02082803107254,1.347053050994873,0.1599407196044922,1.5427021980285645,1.0
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-1,-1,7200,1e-06,-480.0208560769025,3.068326950073242,273,0.009568029270940647,-9.97337009665233e-07,1,-495.9166666666666,0.009286880493164062,0.012957096099853516,3.0919430255889893,0.9999982356495571
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-0,-1,7200,1e-06,-480.0208464157413,4.414856910705566,325,0.011789871362539438,-9.923246672523532e-07,1,-495.9166666666666,0.005037069320678711,0.011404991149902344,4.426892042160034,0.9999988434288262
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-FROB-0,-1,7200,1e-06,-480.0208491727049,2.0393218994140625,223,0.007529252313177682,-9.953857837359063e-07,1,-495.9166666666666,0.004787921905517578,0.011149168014526367,2.051044225692749,0.9999986699894948
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-S,-1,7200,1e-06,-480.0208497307259,3.7110209465026855,311,0.01022441364177937,-9.734838557267677e-07,1,-495.9166666666666,0.004273891448974609,0.010895967483520508,3.722726821899414,0.9999986348846477
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-FROB-S,-1,7200,1e-06,-480.0208520637716,2.9870798587799072,282,0.009015053722029882,-9.218571084783325e-07,1,-495.9166666666666,0.0043561458587646484,0.010842084884643555,2.998684883117676,0.9999984881138008
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-0|10|5|3|1,-1,7200,1e-06,-480.02085101271916,3.0974068641662598,221,0.011462786618401022,-9.972814247556007e-07,1,-495.9166666666666,0.013769865036010742,0.020412206649780273,3.1315908432006836,0
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-EIG-1,-1,60,1e-06,-480.01911896872133,60.09311103820801,169,0.35377134232831425,-2.7703736337129398e-05,0,-494.18202914879294,0.22152996063232422,0.01930403709411621,60.12336993217468,0
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-EIG-0,-1,60,1e-06,-480.01933228585847,60.0455379486084,155,0.3854574911056026,-8.083880573999487e-06,0,-494.18202914879294,0.2912590503692627,0.012183904647827148,60.058100938797,0
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-FROB-0,-1,60,1e-06,-480.02007434681775,60.02754998207092,170,0.3508820519727819,-3.231433418934087e-06,0,-494.18202914879294,0.24427294731140137,0.012166976928710938,60.04031324386597,0
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SDP,-1,7200,1e-06,-705.4999795602764,1.2232780456542969,1,1.2232780456542969,2.3024452029283235e-10,1,-705.4999795602764,1.2232780456542969,0.16409921646118164,1.3889720439910889,1.0
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-1,-1,7200,1e-06,-705.5000104823897,44.23059415817261,920,0.045821211389873336,-9.27319300688136e-07,1,-771.75,0.003814220428466797,0.011256694793701172,44.24359679222107,0.999999533251264
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-0,-1,7200,1e-06,-705.5000050562907,263.0201301574707,1774,0.14562516282349322,-9.580183214167701e-07,1,-771.75,0.004155874252319336,0.010962963104248047,263.0335581302643,0.9999996151546207
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-FROB-0,-1,7200,1e-06,-705.5000034306865,119.56991219520569,1199,0.09715286247724289,-7.791150582882236e-07,1,-771.75,0.003747224807739258,0.010880708694458008,119.58263182640076,0.9999996396920336
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-S,-1,7200,1e-06,-705.500010708468,48.600768089294434,930,0.05000046504441128,-7.945014281935445e-07,1,-771.75,0.0040950775146484375,0.010755062103271484,48.61342406272888,0.9999995298387621
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-FROB-S,-1,7200,1e-06,-705.5000050171495,46.99067497253418,894,0.05031756026632834,-8.117835698243469e-07,1,-771.75,0.003737926483154297,0.010789155960083008,47.003310203552246,0.99999961574543
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-0|10|5|3|1,-1,7200,1e-06,-705.5000027995266,88.93031597137451,1087,0.07898611153828078,-9.813322822883555e-07,1,-771.75,0.0056667327880859375,0.017803192138671875,88.9500379562378,0
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-EIG-1,-1,60,1e-06,-715.0269892796725,60.2707200050354,179,0.33465893441738365,-0.25622626807825005,0,-767.087007335952,0.3042750358581543,0.013237953186035156,60.284982681274414,0
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-EIG-0,-1,60,1e-06,-716.1368557732951,60.267980098724365,168,0.35688268286841257,-0.4510785009686745,0,-767.087007335952,0.29552197456359863,0.012279748916625977,60.28190302848816,0
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-FROB-0,-1,60,1e-06,-713.2387595206992,60.3827908039093,156,0.384803097981673,-0.35471358086291976,0,-767.087007335952,0.28438663482666016,0.01221013069152832,60.39645171165466,0
BOXQP_SMALLEST,spar030-025-3,QP,31,0,SDP,-1,7200,1e-06,-606.9999999991288,1.072371006011963,1,1.072371006011963,1.8038408658277655e-14,1,-606.9999999991288,1.072371006011963,0.1679389476776123,1.2418313026428223,1.0
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-EIG-1,-1,7200,1e-06,-607.0000023656607,1.9837639331817627,203,0.008253278403446591,-9.371914380981623e-07,1,-614.5,0.0040318965911865234,0.010979890823364258,1.9952828884124756,0.9999996844624093
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-EIG-0,-1,7200,1e-06,-607.0000017262092,1.6909172534942627,164,0.008817453209946795,-8.369140378691894e-07,1,-614.5,0.0037491321563720703,0.01061391830444336,1.7020609378814697,0.9999997697226112
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-FROB-0,-1,7200,1e-06,-607.000002345813,0.7491457462310791,98,0.006114186072836117,-7.237844285035569e-07,1,-614.5,0.0037267208099365234,0.010689020156860352,0.7603228092193604,0.9999996871087812
