dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal,gc
BOXQP_SMALL,spar020-100-3,QP,21,0,SOC-EIG-1,-1,0.20018529891967773,1e-06,-891.3815785283183,0.21024703979492188,4,0.05170905590057373,-1.4681727008391587,0,-1115.4999094247287,0.049571990966796875,0.0054018497467041016,0.21588778495788574,0.6524552805146602
BOXQP_SMALL,spar030-060-1,QP,31,0,SDP,-1,-1.0,1e-06,-714.6731661507987,1.5207960605621338,1,1.5207960605621338,4.306172328864463e-11,1,-714.6731661507987,1.5207960605621338,0.1516122817993164,1.6743319034576416,1.0
BOXQP_SMALL,spar030-060-1,QP,31,0,LP-FROB-0,-1,1.6743319034576416,1e-06,-844.9411882015849,1.6777431964874268,99,0.015391677316993174,-0.8371852714998711,0,-1405.25,0.0063381195068359375,0.01097869873046875,1.6893677711486816,0.811363463606669
BOXQP_SMALL,spar030-060-1,QP,31,0,LP-EIG-0,-1,1.6743319034576416,1e-06,-882.2339085896243,1.6792879104614258,91,0.01683902478480077,-1.1838289827249104,0,-1405.25,0.0063629150390625,0.010764837265014648,1.6907341480255127,0.7573611881753114
BOXQP_SMALL,spar030-060-1,QP,31,0,LP-EIG-S,-1,1.6743319034576416,1e-06,-858.7873704486256,1.666167974472046,126,0.01155105848161001,-0.7043023895398218,0,-1405.25,0.006541013717651367,0.01102900505065918,1.6777520179748535,0.7913132945764344
BOXQP_SMALL,spar030-060-1,QP,31,0,LP-EIG-1,-1,1.6743319034576416,1e-06,-847.2604733395289,1.6851067543029785,129,0.011572536572005397,-0.6866082784956832,0,-1405.25,0.006082057952880859,0.010390996932983398,1.696077823638916,0.8080049884533446
BOXQP_SMALL,spar030-060-1,QP,31,0,SOC-FROB-0,-1,1.6743319034576416,1e-06,-903.7040620434956,1.689039945602417,9,0.18595544497172037,-1.3162702765687986,0,-1405.2498990084478,0.18213891983032227,0.010902166366577148,1.7003331184387207,0.7262709748263956
BOXQP_SMALL,spar030-060-1,QP,31,0,SOC-EIG-1,-1,1.6743319034576416,1e-06,-1257.4058565727896,1.8362598419189453,9,0.2022645738389757,-2.1600950262841843,0,-1405.2498990084478,0.17906403541564941,0.011046171188354492,1.847714900970459,0.21408778402346454
BOXQP_SMALL,spar030-060-2,QP,31,0,SDP,-1,-1.0,1e-06,-1377.17307636617,1.3423290252685547,1,1.3423290252685547,5.081620979511535e-12,1,-1377.17307636617,1.3423290252685547,0.15897440910339355,1.5028631687164307,1.0
BOXQP_SMALL,spar030-060-2,QP,31,0,LP-FROB-0,-1,1.5028631687164307,1e-06,-1377.1731062221725,0.4558138847351074,58,0.006383151843630034,-9.71200234633928e-07,1,-1637.0,0.006863832473754883,0.011316061019897461,0.46764111518859863,0.9999998850927304
