dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SDP,-1,-1.0,1e-06,-480.02082803107254,1.3647210597991943,1,1.3647210597991943,1.2712584267294712e-10,1,-480.02082803107254,1.3647210597991943,0.1624608039855957,1.5362513065338135
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-FROB-0,-1,1.5362513065338135,1e-06,-480.02091211423135,1.5272037982940674,176,0.00708502395586534,-8.343850971428057e-06,0,-495.9166666666666,0.005112886428833008,0.012098073959350586,1.5422708988189697
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-FROB-S,-1,1.5362513065338135,1e-06,-480.02182564777763,1.5298409461975098,173,0.007206591567552159,-5.2834469613718744e-05,0,-495.9166666666666,0.004491090774536133,0.011335134506225586,1.5417451858520508
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-0,-1,1.5362513065338135,1e-06,-480.03667564977576,1.5300800800323486,159,0.008001089096069336,-0.0024154439847502694,0,-495.9166666666666,0.0047490596771240234,0.011441946029663086,1.542118787765503
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-S,-1,1.5362513065338135,1e-06,-480.0233683482256,1.5304367542266846,175,0.007116154261997768,-0.00013959676219111572,0,-495.9166666666666,0.005038738250732422,0.01184225082397461,1.5428791046142578
BOXQP_SMALLEST,spar030-025-1,QP,31,0,LP-EIG-1,-1,1.5362513065338135,1e-06,-480.02350908917657,1.528245210647583,171,0.007313247312579239,-0.0002362546499718283,0,-495.9166666666666,0.004703998565673828,0.011583805084228516,1.5404043197631836
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-FROB-0,-1,1.5362513065338135,1e-06,-483.97548885589083,1.7261910438537598,7,0.2447253635951451,-0.29001792320657654,0,-494.18202914879294,0.21665024757385254,0.011889934539794922,1.7384531497955322
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-EIG-0,-1,1.5362513065338135,1e-06,-484.99812161452434,1.6891777515411377,7,0.2393458230154855,-0.4205840541279946,0,-494.18202914879294,0.2230057716369629,0.011474370956420898,1.7010478973388672
BOXQP_SMALLEST,spar030-025-1,QP,31,0,SOC-EIG-1,-1,1.5362513065338135,1e-06,-492.7718560531749,1.67464017868042,7,0.23744654655456543,-1.210705582908775,0,-494.18202914879294,0.2407548427581787,0.012459039688110352,1.6875100135803223
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SDP,-1,-1.0,1e-06,-705.4999795602764,1.192798137664795,1,1.192798137664795,2.3024452029283235e-10,1,-705.4999795602764,1.192798137664795,0.17088079452514648,1.3652350902557373
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-FROB-0,-1,1.3652350902557373,1e-06,-723.7973750605004,1.3544471263885498,91,0.013108431637942135,-0.567905158743586,0,-771.75,0.0038900375366210938,0.029237031936645508,1.3843467235565186
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-FROB-S,-1,1.3652350902557373,1e-06,-730.1034268934649,1.3623762130737305,114,0.010284400822823508,-0.6997452846283753,0,-771.75,0.0038099288940429688,0.01110982894897461,1.3742001056671143
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-0,-1,1.3652350902557373,1e-06,-733.8182273054915,1.378232717514038,88,0.013894693417982622,-0.9234794680610116,0,-771.75,0.0038399696350097656,0.011222124099731445,1.39011812210083
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-S,-1,1.3652350902557373,1e-06,-727.6202417003813,1.3663160800933838,114,0.010213686708818403,-0.4768476129516739,0,-771.75,0.0038290023803710938,0.011353731155395508,1.3783011436462402
BOXQP_SMALLEST,spar030-025-2,QP,31,0,LP-EIG-1,-1,1.3652350902557373,1e-06,-731.972656885948,1.357450008392334,115,0.010116004943847656,-0.7937644780142823,0,-771.75,0.003876209259033203,0.011303901672363281,1.3694987297058105
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-FROB-0,-1,1.3652350902557373,1e-06,-732.707094778356,1.4941282272338867,6,0.24703959623972574,-1.1648070247623674,0,-767.087007335952,0.22429800033569336,0.011416912078857422,1.5059430599212646
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-EIG-0,-1,1.3652350902557373,1e-06,-734.5052231945613,1.5969719886779785,7,0.22627827099391393,-1.5063514910272624,0,-767.087007335952,0.2302560806274414,0.011648178100585938,1.60903000831604
BOXQP_SMALLEST,spar030-025-2,QP,31,0,SOC-EIG-1,-1,1.3652350902557373,1e-06,-767.0871801148461,1.375694751739502,6,0.22750516732533774,-1.4213486845207177,0,-767.087007335952,0.2515377998352051,0.01183629035949707,1.3879308700561523
BOXQP_SMALLEST,spar030-025-3,QP,31,0,SDP,-1,-1.0,1e-06,-606.9999999991288,1.0986230373382568,1,1.0986230373382568,1.8038408658277655e-14,1,-606.9999999991288,1.0986230373382568,0.1655440330505371,1.2668092250823975
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-FROB-0,-1,1.2668092250823975,1e-06,-607.000002345813,0.7513489723205566,98,0.006106184453380351,-7.237844285035569e-07,1,-614.5,0.004029989242553711,0.011515140533447266,0.7633652687072754
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-FROB-S,-1,1.2668092250823975,1e-06,-607.0039010683569,1.2602641582489014,141,0.007332128835908064,-0.0010438299646861684,0,-614.5,0.003922224044799805,0.011054754257202148,1.2719738483428955
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-EIG-0,-1,1.2668092250823975,1e-06,-607.0173577634758,1.2630901336669922,128,0.008200395852327347,-0.009483076458556805,0,-614.5,0.004145145416259766,0.011326074600219727,1.2749929428100586
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-EIG-S,-1,1.2668092250823975,1e-06,-607.0003669986398,1.2419331073760986,143,0.007032536126516916,-7.989639455605824e-05,0,-614.5,0.004172086715698242,0.03156566619873047,1.2740449905395508
BOXQP_SMALLEST,spar030-025-3,QP,31,0,LP-EIG-1,-1,1.2668092250823975,1e-06,-607.0068027711729,1.2559380531311035,144,0.007115832633442349,-0.0010799460589013207,0,-614.5,0.00416111946105957,0.011137008666992188,1.2676360607147217
BOXQP_SMALLEST,spar030-025-3,QP,31,0,SOC-FROB-0,-1,1.2668092250823975,1e-06,-608.3067289805728,1.365480899810791,5,0.27103481292724607,-0.25471586312087396,0,-610.3699866764662,0.23020172119140625,0.011810064315795898,1.3777029514312744
BOXQP_SMALLEST,spar030-025-3,QP,31,0,SOC-EIG-0,-1,1.2668092250823975,1e-06,-608.8003236781359,1.2987377643585205,5,0.25798859596252444,-0.3484789972053087,0,-610.3699866764662,0.2373976707458496,0.012143135070800781,1.31129789352417
BOXQP_SMALLEST,spar030-025-3,QP,31,0,SOC-EIG-1,-1,1.2668092250823975,1e-06,-610.3664555235216,1.3578879833221436,6,0.2246178388595581,-0.9372667464366354,0,-610.3699866764662,0.2301640510559082,0.011476993560791016,1.3697788715362549
BOXQP_SMALLEST,spar030-050-1,QP,31,0,SDP,-1,-1.0,1e-06,-1313.9999999997706,1.054358959197998,1,1.054358959197998,3.905615727790241e-15,1,-1313.9999999997706,1.054358959197998,0.16602706909179688,1.2219700813293457
